Area Code,Area Name,Total Population,PM2.5 Concentration (µg/m3),Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 6%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 1%,Attributable Deaths at coefft (change for 10 µg/m3 PM2.5) 12%
C000R,Total,7673217,15.34,4267,756,7965
H00AA,City of London,9155,17.59,4,1,7
00ABFX,Abbey,11558,15.39,8,1,15
00ABFY,Alibon,9876,14.86,7,1,13
00ABFZ,Becontree,11716,14.94,8,1,15
00ABGA,Chadwell Heath,9470,14.8,7,1,12
00ABGB,Eastbrook,10478,14.66,7,1,13
00ABGC,Eastbury,10390,15.25,7,1,13
00ABGD,Gascoigne,10721,15.62,7,1,14
00ABGE,Goresbrook,11036,15.16,8,1,14
00ABGF,Heath,9852,14.84,7,1,13
00ABGG,Longbridge,9604,15.03,7,1,12
00ABGH,Mayesbrook,9658,14.91,7,1,12
00ABGJ,Parsloes,9170,14.94,6,1,12
00ABGK,River,10678,15.09,7,1,14
00ABGL,Thames,9493,15.31,7,1,12
00ABGM,Valence,8841,14.95,6,1,11
00ABGN,Village,10027,14.75,7,1,13
00ABGP,Whalebone,9789,14.99,7,1,13
00ACFX,Brunswick Park,15577,14.87,10,2,18
00ACFY,Burnt Oak,15672,14.89,10,2,18
00ACFZ,Childs Hill,18103,15.51,11,2,21
00ACGA,Colindale,15804,15.06,10,2,18
00ACGB,Coppetts,15036,15.31,9,2,17
00ACGC,East Barnet,15805,14.67,10,2,18
00ACGD,East Finchley,15019,15.34,9,2,17
00ACGE,Edgware,15253,14.87,9,2,18
00ACGF,Finchley Church End,14652,15.43,9,2,17
00ACGG,Garden Suburb,15064,15.29,9,2,17
00ACGH,Golders Green,16787,15.81,10,2,19
00ACGJ,Hale,16088,15,10,2,18
00ACGK,Hendon,15973,15.52,10,2,18
00ACGL,High Barnet,14762,14.62,9,2,17
00ACGM,Mill Hill,17036,14.95,10,2,20
00ACGN,Oakleigh,15224,14.84,9,2,17
00ACGP,Totteridge,14880,14.7,9,2,17
00ACGQ,Underhill,15996,14.64,10,2,18
00ACGR,West Finchley,14960,15.12,9,2,17
00ACGS,West Hendon,14977,15.66,9,2,17
00ACGT,Woodhouse,16084,15.17,10,2,18
00ADGA,Barnehurst,10177,14.8,7,1,14
00ADGB,Belvedere,10920,14.76,8,1,15
00ADGC,Blackfen and Lamorbey,10341,14.8,8,1,14
00ADGD,Blendon and Penhill,10319,15.04,8,1,14
00ADGE,Brampton,10249,14.76,7,1,14
00ADGF,Christchurch,10403,15.01,8,1,14
00ADGG,Colyers,10525,14.74,8,1,14
00ADGH,Crayford,10306,14.9,7,1,14
00ADGJ,Cray Meadows,10321,14.68,8,1,14
00ADGK,Danson Park,10303,14.99,7,1,14
00ADGL,East Wickham,10283,14.84,7,1,14
00ADGM,Erith,10596,14.86,8,1,14
00ADGN,Falconwood and Welling,10503,15.09,8,1,14
00ADGP,Lesnes Abbey,10882,14.81,8,1,15
00ADGQ,Longlands,9705,15.01,7,1,13
00ADGR,North End,10496,14.73,8,1,14
