,var_assetsavg,var_assetturnover,var_bvps,var_cor,var_de,var_debtc,var_debtusd,var_divyield,var_ebit,var_ebitda,var_ebitdamargin,var_ev,var_grossmargin,var_invcapavg,var_investments,var_liabilities,var_liabilitiesnc,var_netmargin,var_opex,var_payoutratio,var_rnd,var_roe,var_roic,var_ros,var_shareswa,var_taxexp,var_tbvps,var_workingcapital
1,8.403198e-18,2.8259785,1.0000135e-06,1.6750598e-17,1.273491e-05,0.0,0.0,0.0,8.644275e-17,6.5945095e-17,3.3317433e-06,7.863937e-14,1.8173707,6.8477225e-18,0.0,6.1491627e-18,1.0427635e-17,1.2044846e-06,9.199344e-16,0.0,3.6815653e-14,0.0026685183,0.00014781128,1.9018778e-06,5.4459276e-12,5.935918e-16,4.2400856e-07,2.448849e-16
2,5.0777925e-17,4.038215,4.015405e-07,1.679352e-16,3.8032053e-05,1.2073988e-19,2.9650585e-15,49.961063,7.995359e-16,6.0009786e-16,3.5118373e-06,6.41588e-13,1.39184,2.5422837e-17,0.0,5.4400033e-17,4.158433e-17,1.5167585e-06,6.3055225e-15,5.360601,0.0,0.0060529807,0.0003647601,2.0377263e-06,4.020976e-11,4.5165495e-15,2.4926408e-07,5.8102246e-16
3,2.7309787e-16,1.9020019,1.2683286e-06,4.4006647e-16,0.00015148068,4.802317e-17,1.2565209e-11,6.443576,4.3688714e-15,2.281455e-15,5.267756e-06,3.3986384e-12,1.2854573,2.8691761e-16,0.0,7.1394544e-16,2.9052455e-15,3.390401e-06,1.433156e-14,0.23276162,0.0,0.01692231,0.00017641993,4.3471496e-06,4.1926566e-11,-2.1501291e-14,1.1639028e-06,6.8399846e-15
4,3.577536e-17,0.85963273,3.0263567e-07,1.8476813e-17,0.0002877658,0.0,1.2723199e-13,0.0,-1.9414791e-15,-8.2214193e-16,-3.219184e-05,1.2007033e-12,2.203008,-7.12237e-18,0.0,2.6428916e-16,8.4589575e-16,-3.4885445e-05,4.050733e-15,0.0,1.795433e-13,-0.047447555,0.0031684064,-3.278475e-05,3.423596e-11,0.0,2.3357768e-07,-5.5645544e-16
5,1.1141203e-15,1.2122366,2.3267858e-06,7.435154e-16,3.1038646e-05,1.4757097e-16,1.7286955e-11,0.9338516,5.6378297e-15,6.4961413e-15,5.7630155e-06,1.8105724e-11,2.3891776,4.7428906e-16,0.0,1.470264e-15,5.8977214e-15,9.368214e-07,7.147163e-14,0.53079766,0.0,0.001106459,0.00013827506,2.1735748e-06,2.2984437e-10,5.383097e-14,4.6697252e-07,1.1958916e-14
8,1.6982637e-16,3.5028746,9.686534e-07,4.981957e-16,5.093964e-05,4.664137e-17,3.678963e-12,1.3073922,5.613272e-15,3.153586e-15,6.3933453e-06,3.7256582e-12,1.3253508,1.4026352e-16,0.0,2.805122e-16,9.85053e-16,2.7658534e-06,1.28136535e-14,0.12194684,0.0,0.011455103,0.00046489033,4.890543e-06,6.415249e-11,3.730576e-14,4.810501e-07,3.7265303e-15
9,1.2773191e-17,4.362508,3.535903e-06,4.939786e-17,3.660747e-05,4.1588183e-19,1.6972747e-13,0.0,-1.0506783e-15,-4.205054e-16,-9.094759e-06,1.7250552e-13,1.1436137,1.1196704e-17,0.0,1.8152406e-17,3.8691075e-17,-6.7361916e-06,7.999941e-16,0.0,0.0,-0.028963186,-0.0010895121,-9.781086e-06,1.5825862e-12,-8.06428e-15,2.1788396e-06,6.166623e-16
10,1.7328375e-18,5.0033717,1.9452017e-07,8.6498335e-18,0.00016201397,3.047954e-17,7.977738e-14,0.0,5.3523065e-18,5.872959e-18,8.1042396e-07,1.6113159e-14,0.73138094,1.3797451e-18,0.0,4.9028736e-18,9.403493e-19,-8.029897e-07,1.2980801e-16,0.0,0.0,-0.009893043,4.5297005e-05,3.1697965e-07,1.7548696e-12,0.0,3.000164e-07,1.0875035e-17
13,5.4583713e-18,0.1467038,6.993515e-07,0.0,1.545457e-05,3.6531485e-17,9.038134e-14,0.0,-5.8275057e-16,-2.4506156e-16,-0.00037040882,7.443252e-15,4.4326115,1.6252654e-19,8.534976e-18,4.0708077e-18,0.0,-0.00037771746,7.540445e-16,0.0,2.6133097e-13,-0.04380275,-0.04166371,-0.00038019443,4.2465783e-12,-8.4160816e-17,3.1676322e-07,2.9581217e-16
14,1.2185354e-15,1.5339556,5.6291333e-06,1.427235e-15,3.198837e-05,1.2878921e-15,2.4116547e-11,2.0544734,2.6897269e-14,1.479485e-14,9.4999705e-06,2.460934e-11,1.6001728,6.2851883e-16,0.0,1.6899176e-15,7.527948e-15,4.505665e-06,3.990046e-14,0.23225561,0.0,0.007029268,0.00049826707,7.471663e-06,1.0588301e-10,1.954223e-13,1.0732214e-06,1.0542746e-14
17,7.755333e-17,3.3947773,-1.0669003e-07,2.4467693e-16,-0.000802731,9.046548e-18,3.492485e-12,0.0,-6.3343723e-16,1.4750138e-16,6.753533e-07,1.1138857e-12,0.9840397,9.018623e-17,0.0,2.7132096e-16,1.1179192e-15,-2.7658534e-06,5.479504e-15,0.0,1.5441755e-12,0.08552276,-8.1057806e-05,-1.2679186e-06,3.5748907e-11,2.5132636e-15,6.2175246e-07,2.9074681e-15
18,1.8687477e-17,2.5891933,7.5636984e-07,2.239962e-17,1.0576451e-05,9.569754e-19,2.3676214e-15,0.9338516,3.78574e-16,2.1206676e-16,5.267756e-06,4.1445596e-13,2.712758,1.5360013e-17,1.08512266e-16,1.2184395e-17,2.0140885e-17,2.8996851e-06,2.7773734e-15,0.13307893,3.7032093e-13,0.005402122,0.00028608635,4.0754526e-06,1.7156315e-11,2.3494902e-15,3.1413052e-07,9.698934e-16
19,2.7455744e-17,1.4438741,5.019805e-07,2.335179e-17,4.942872e-05,0.0,1.2137489e-12,0.0,2.4730247e-16,1.9333846e-16,5.8530622e-06,3.847977e-13,2.2473342,2.7839167e-17,3.0355032e-16,6.2766247e-17,2.7623113e-16,2.7658534e-06,2.0586138e-15,0.0,5.004744e-13,0.004295664,0.000102514285,3.2603618e-06,2.8533374e-11,-1.1636887e-15,3.0403856e-07,2.3436178e-15
21,2.5467473e-17,0.2136213,6.2369264e-07,0.0,7.9863e-06,1.0821872e-17,1.04850224e-13,0.0,-1.5302807e-15,-6.318823e-16,-0.00013921283,7.7402055e-13,4.4326115,2.0813934e-17,4.2231326e-16,1.475153e-17,5.008313e-17,-0.0001447612,2.7708673e-15,0.0,9.671014e-13,-0.020111516,-0.000853491,-0.00014549366,3.340287e-11,0.0,2.4644856e-07,2.4252768e-15
22,5.18547e-17,3.168287,1.5472797e-06,1.2466203e-16,6.686908e-05,1.1112541e-17,8.1410773e-13,2.5213995,1.2423466e-15,6.703226e-16,4.9075675e-06,7.727659e-13,1.6179032,4.242798e-17,2.209148e-17,1.06384843e-16,3.6299314e-16,2.3643586e-06,4.9782024e-15,0.2008834,0.0,0.011455103,0.0003409196,3.939604e-06,1.1603329e-11,7.2537056e-15,1.1674496e-06,1.4648855e-15
23,2.0776428e-16,1.3126129,1.05154925e-07,3.2764936e-16,0.00012549284,5.5898095e-18,1.3829564e-14,0.0,-1.5097983e-14,-5.7132317e-15,-2.5213192e-05,2.0402397e-12,-0.026595669,-3.3047276e-18,1.1730785e-17,5.150438e-16,1.7314851e-15,-2.8327693e-05,1.754808e-14,0.0,0.0,-0.06638753,0.05308809,-2.875458e-05,4.4052187e-10,-2.6770368e-15,8.629357e-08,5.197057e-15
25,9.727025e-18,0.7103552,1.7443218e-06,1.5052207e-18,3.7384518e-05,1.0219407e-16,2.55704e-13,0.0,-2.3525572e-16,-8.464736e-17,-1.4722703e-05,1.5312705e-13,3.6258762,3.942025e-18,1.7604984e-17,1.4576052e-17,1.1383124e-18,-2.4268136e-05,1.264269e-15,0.0,3.7306418e-13,-0.023430893,-0.0006937594,-1.7660293e-05,2.5232928e-12,-1.6619258e-16,4.5677086e-07,-2.8974355e-16
26,2.5864354e-18,3.3896298,6.8202674e-08,9.354673e-18,0.00024248134,2.1487112e-17,1.1590463e-13,0.0,2.1602581e-16,1.1589309e-16,1.5893314e-05,2.7950668e-14,0.4698568,3.149063e-18,0.0,6.731284e-18,1.6183797e-17,1.1420299e-05,1.0549075e-16,0.0,0.0,0.68860793,0.0007962737,1.2815033e-05,4.5946016e-12,0.0,1.504287e-07,-9.214151e-18
28,6.128235e-15,0.75153524,8.680052e-06,2.9726759e-15,6.820732e-05,9.033132e-16,2.5215166e-10,1.2140071,2.1342786e-14,2.7159876e-14,7.0686983e-06,1.4627298e-10,2.0390012,4.0916003e-15,4.000268e-17,1.4588711e-14,6.904528e-14,-3.122738e-07,2.0503433e-13,-3.483328,1.7686354e-11,-0.00039051488,5.9601327e-05,2.3999887e-06,2.78021e-10,-8.983345e-15,1.9270524e-06,4.0390956e-14
29,2.311874e-17,1.3126129,5.116297e-07,1.9795421e-17,5.266641e-06,0.0,0.0,0.0,-3.0540723e-17,3.3917906e-17,1.3507066e-06,3.2914147e-13,2.007973,1.310665e-17,1.2896114e-16,8.4068094e-18,5.6912647e-19,-4.9071593e-07,1.6711143e-15,0.0,4.2362736e-13,-0.00039051488,-2.6224583e-05,-5.433937e-07,3.529136e-11,-8.2923186e-18,1.781816e-07,1.7770057e-15
30,3.2335528e-16,3.7422338,8.3707266e-07,1.3087742e-15,2.982991e-05,3.88693e-17,4.020088e-12,0.0,1.7208477e-15,3.1441965e-15,3.1066254e-06,7.5518715e-12,0.41666546,2.1427748e-16,0.0,4.5438415e-16,1.065762e-15,4.461054e-07,1.0532581e-14,0.0,1.6210431e-13,0.0015620595,9.2978065e-05,7.245249e-07,2.0538868e-10,6.9385974e-15,4.3596535e-07,1.302251e-14
31,1.1951054e-18,5.0883055,2.9397327e-07,3.2947495e-18,9.58356e-06,2.0123314e-19,1.4935929e-15,0.0,6.082477e-17,3.0815704e-17,6.0781804e-06,5.789452e-14,2.4202058,8.776982e-19,3.3692005e-19,8.120959e-19,4.669766e-19,8.743666e-06,2.8267578e-16,0.0,2.9692194e-14,0.033519194,0.0008058099,5.207523e-06,3.2541552e-12,-9.987628e-16,1.1978717e-07,8.181972e-17
34,4.8542502e-17,2.9701085,4.3048829e-07,9.133941e-17,2.4347422e-05,1.7879865e-17,9.299408e-13,0.0,1.8888091e-15,1.1726438e-15,9.770111e-06,2.2590992e-12,2.0833273,4.778541e-17,0.0,5.791672e-17,1.9063444e-16,3.5242329e-06,4.996341e-15,0.0,3.149992e-13,0.010153387,0.00046012225,6.792421e-06,6.235112e-11,1.5435295e-14,1.8798103e-07,2.251012e-15
