,0
0,3.993250174971763e-12
1,4.000355602329364e-12
2,4.000355602329364e-12
3,4.0039083160081645e-12
5,4.000355602329364e-12
6,4.000355602329364e-12
8,3.993250174971763e-12
10,4.0039083160081645e-12
12,4.000355602329364e-12
13,3.9968028886505635e-12
15,4.000355602329364e-12
17,4.000355602329364e-12
18,3.993250174971763e-12
19,4.000355602329364e-12
20,4.000355602329364e-12
21,4.000355602329364e-12
22,3.993250174971763e-12
23,4.000355602329364e-12
24,3.993250174971763e-12
25,4.000355602329364e-12
26,4.007461029686965e-12
27,4.000355602329364e-12
29,4.007461029686965e-12
31,4.000355602329364e-12
32,4.000355602329364e-12
34,3.993250174971763e-12
36,4.000355602329364e-12
37,4.000355602329364e-12
38,4.000355602329364e-12
40,4.000355602329364e-12
41,4.000355602329364e-12
42,4.000355602329364e-12
43,4.000355602329364e-12
44,4.000355602329364e-12
45,4.000355602329364e-12
48,4.000355602329364e-12
49,4.000355602329364e-12
50,3.9968028886505635e-12
52,4.000355602329364e-12
53,4.000355602329364e-12
54,3.993250174971763e-12
56,4.000355602329364e-12
57,4.000355602329364e-12
58,3.9968028886505635e-12
59,4.000355602329364e-12
60,4.007461029686965e-12
61,4.007461029686965e-12
62,4.007461029686965e-12
63,4.000355602329364e-12
64,3.993250174971763e-12
66,4.000355602329364e-12
67,3.993250174971763e-12
70,4.000355602329364e-12
72,4.000355602329364e-12
73,4.000355602329364e-12
74,3.9968028886505635e-12
75,4.007461029686965e-12
77,4.000355602329364e-12
79,3.993250174971763e-12
80,4.000355602329364e-12
81,4.007461029686965e-12
82,4.0039083160081645e-12
83,4.000355602329364e-12
84,4.000355602329364e-12
85,4.000355602329364e-12
86,4.000355602329364e-12
87,4.0039083160081645e-12
88,3.993250174971763e-12
89,4.0039083160081645e-12
91,4.0039083160081645e-12
92,4.007461029686965e-12
96,4.000355602329364e-12
97,4.000355602329364e-12
101,4.0039083160081645e-12
103,4.007461029686965e-12
105,4.000355602329364e-12
107,3.993250174971763e-12
108,4.000355602329364e-12
109,4.000355602329364e-12
111,4.000355602329364e-12
112,3.993250174971763e-12
115,4.000355602329364e-12
116,4.000355602329364e-12
117,4.007461029686965e-12
119,4.000355602329364e-12
120,4.000355602329364e-12
122,4.000355602329364e-12
123,4.000355602329364e-12
125,4.000355602329364e-12
126,4.000355602329364e-12
127,4.000355602329364e-12
129,4.007461029686965e-12
130,3.9968028886505635e-12
131,4.000355602329364e-12
132,4.007461029686965e-12
133,3.993250174971763e-12
134,4.000355602329364e-12
135,4.000355602329364e-12
136,4.000355602329364e-12
137,4.000355602329364e-12
138,4.000355602329364e-12
139,4.007461029686965e-12
140,4.000355602329364e-12
141,3.993250174971763e-12
143,4.007461029686965e-12
145,4.000355602329364e-12
146,4.000355602329364e-12
147,4.0039083160081645e-12
149,4.000355602329364e-12
151,3.993250174971763e-12
152,4.000355602329364e-12
153,4.000355602329364e-12
154,4.000355602329364e-12
155,4.007461029686965e-12
156,4.000355602329364e-12
157,4.000355602329364e-12
158,4.000355602329364e-12
159,4.007461029686965e-12
160,4.007461029686965e-12
161,4.000355602329364e-12
162,4.000355602329364e-12
163,4.000355602329364e-12
167,4.000355602329364e-12
168,4.000355602329364e-12
171,4.000355602329364e-12
172,4.000355602329364e-12
173,3.993250174971763e-12
174,4.000355602329364e-12
175,4.000355602329364e-12
176,3.993250174971763e-12
178,4.000355602329364e-12
179,3.993250174971763e-12
181,4.000355602329364e-12
183,4.000355602329364e-12
184,4.000355602329364e-12
186,4.007461029686965e-12
187,4.000355602329364e-12
191,4.000355602329364e-12
193,4.000355602329364e-12
194,4.000355602329364e-12
197,4.000355602329364e-12
199,4.000355602329364e-12
201,4.000355602329364e-12
