,0
1,2.237749e-16
2,0.6600343
3,1.5305993e-15
6,4.0251124e-15
7,-2.6867673e-15
9,6.2703257
10,1.3200686
11,-4.06825e-15
12,3.026172e-16
13,-5.3048514e-16
14,-6.583585e-16
16,2.8804895e-15
19,0.8800458
23,2.5301316
24,1.7849036e-14
27,-8.649002e-17
30,3.3081668e-16
31,-2.9162987e-15
33,2.6123115e-16
35,2.1209622e-15
37,1.8700973
39,4.8402514
40,5.4792503e-17
41,2.5301316
42,0.22001144
44,2.31012
45,1.1000571
46,1.515532e-14
47,-5.3811664e-16
49,-9.649038e-17
51,3.5534286e-15
52,2.4201257
53,1.8700973
56,5.9707463e-15
58,9.2843705e-15
60,-2.0610943e-16
62,7.810406
63,4.9502573
64,9.847561e-16
67,3.1901658
69,7.7322467e-16
72,3.745194e-15
73,-5.224721e-15
75,1.0083327e-15
79,7.071048e-15
80,-2.737907e-16
82,5.0954753e-15
86,1.01068084e-16
87,1.3769915e-15
88,-1.5914555e-15
89,8.154032e-15
90,0.33001715
91,0.4400229
92,-1.636031e-17
95,1.8491644e-17
98,3.562332e-16
99,6.80561e-15
100,4.4002285
101,8.006197e-16
102,1.840398e-14
103,2.059201e-15
105,2.3421477e-14
107,-1.1838551e-15
108,1.5837946e-14
109,8.2638774e-16
110,0.8800458
111,3.0899244e-14
112,3.7401946
113,2.31012
115,0.4400229
118,-3.2886753e-15
119,7.32817e-15
121,1.1000571
122,2.0094254e-15
123,-2.4821853e-16
125,2.4201257
126,2.0506157e-15
127,8.689116e-16
128,9.843825e-16
129,1.24918395e-14
130,8.0264495e-15
134,3.3001714
135,2.933225e-14
138,5.9411988e-15
139,-2.4012653e-15
140,-9.587281e-16
141,-3.1940647e-15
142,3.7401946
143,2.3960768e-14
144,1.6519202e-15
145,-1.3052439e-16
148,0.55002856
149,3.0838975e-14
151,1.080411e-16
152,7.7004004
153,5.6285043e-15
155,4.499301e-16
157,-2.4630088e-15
158,1.7882104e-15
159,-6.066042e-18
160,-1.3425521e-15
161,8.725672e-16
163,3.7518762e-14
165,-2.0319285e-15
166,9.624461e-16
169,2.5301316
170,3.656258e-16
174,6.5943747e-15
175,5.785243e-16
177,1.5400801
178,-2.0952304e-15
180,3.8782555e-15
182,3.6301887
183,4.2072015e-14
184,0.4400229
185,7.7381955e-14
186,2.3779863e-15
188,-1.1486344e-16
189,1.5323507e-14
190,-4.927485e-15
194,2.31012
195,2.2602366e-14
196,8.24786e-17
197,2.5301316
198,2.750143
199,2.974024e-15
201,6.459508e-16
202,1.7600915
205,-1.4168973e-16
209,0.22001144
212,0.6600343
213,0.77004004
214,2.6401372
215,-2.765528e-15
216,-1.3486702e-15
217,9.1253816e-15
218,-9.562822e-16
219,-6.739087e-16
220,1.4300743
221,-6.175622e-16
222,-1.635581e-15
224,1.0273136e-14
225,1.4300743
226,1.0198777e-15
228,4.9502573
229,1.17715455e-14
231,3.520183
232,5.640832e-15
233,-2.1215492e-15
234,8.145129e-16
235,3.533176e-15
236,2.2001143
237,1.4300743
238,0.77004004
239,1.0098316e-16
240,0.55002856
241,3.952026e-15
242,2.7043e-14
245,3.979715e-15
246,2.9701545
248,-3.0594377e-16
249,2.4541054e-15
251,-7.3573265e-15
256,3.625341e-15
257,7.421704e-15
259,1.8071717e-14
261,-1.1645822e-15
263,1.8700973
264,-2.8288616e-16
266,2.0451367e-15
268,3.1901658
269,1.3052762e-16
270,1.3200686
272,1.3658642e-13
273,1.1896291e-15
274,2.2950184e-15
275,2.680173e-14
277,1.5124403e-14
278,4.8154914e-16
279,2.31012
280,5.6612802e-15
283,8.2863116e-15
284,116.16604
285,1.166539e-15
286,1.9763555e-14
288,3.336323e-17
289,4.8402514
290,7.7919286e-16
291,-1.623449e-15
292,8.1382804e-16
293,-4.0140565e-15
294,1.2346055e-14
295,-1.7581737e-16
296,0.9900514
297,3.3001714
299,-1.659356e-16
302,0.9900514
304,2.5172117e-15
306,1.7620874e-16
309,-1.3382472e-15
310,4.4741953e-16
312,0.9900514
313,8.3206323e-16
315,1.1000571
316,-3.3710099e-15
317,-4.008773e-15
319,2.750143
320,3.716752e-17
322,3.3447372e-15
323,-2.1027446e-14
325,2.31012
327,1.4300743
328,2.1708602e-14
329,1.3494497e-14
330,1.4831864e-14
331,3.0801601
332,0.55002856
333,-2.7688546e-17
334,-2.0017939e-16
336,1.5578966e-15
337,2.6401372
338,1.3893193e-13
340,-2.5577956e-14
341,-5.9540063e-17
342,2.2287813e-15
344,1.9967061e-15
345,6.226303e-15
346,1.3664249e-15
347,1.2100629
348,4.825341e-15
349,1.2512679e-15
350,3.2234165e-15
353,-3.654497e-15
355,-3.6345375e-15
356,8.140423
359,2.3801389e-15
360,10.670555
361,2.4201257
362,-7.279544e-15
364,-9.808398e-16
366,4.915353e-15
367,1.5400801
371,-4.196141e-15
372,-5.084941e-16
373,2.0166654e-15
374,6.6811583e-15
376,1.2765105e-14
377,0.77004004
378,-3.0273464e-15
379,7.860612e-15
380,-2.47717e-16
381,0.77004004
382,-2.0140237e-15
385,0.55002856
386,4.0200736e-14
387,3.4101772
388,-1.8597045e-15
389,-3.5838616e-15
390,0.55002856
391,-1.2586058e-15
392,1.2100629
393,3.4860172e-15
394,1.705585e-14
395,-1.0265015e-14
397,-9.932459e-15
398,2.1104739e-14
399,7.807583e-15
404,1.0063409e-15
405,-3.4416365e-16
411,0.22001144
413,11.9906225
414,5.9085207e-15
415,6.6824303e-16
416,7.4641666e-16
417,-6.9079e-16
419,8.892553e-16
420,-4.3727356e-15
424,-1.5386222e-15
427,9.829532e-15
429,0.6600343
430,2.0901086
432,3.8502002
433,1.9801028
436,0.9900514
437,3.6819506e-14
440,1.8858933e-14
442,4.730246
443,4.0702114
444,2.31012
446,7.687632e-15
447,5.282153e-15
449,5.071896e-15
450,2.4201257
451,-5.963604e-15
452,2.2293682e-17
453,-4.9692624e-14
455,-3.3840688e-15
456,3.777559e-15
458,-2.53541e-15
459,-1.4313902e-15
460,2.8510398e-16
462,2.5301316
467,5.1659196e-17
468,8.5143884e-16
471,-1.1907053e-16
472,-2.6483165e-15
473,-1.35487985e-14
474,1.19423734e-14
475,6.3803315
476,1.0801468e-16
480,-4.7705505e-15
481,3.3240931e-15
482,-1.6943995e-15
483,8.725672e-16
484,1.0614545e-15
485,7.911293e-15
487,4.716837e-16
488,2.5622725e-16
489,-6.5763723e-15
490,1.4079216e-15
491,5.7427805e-15
493,1.3200686
494,-6.9661644e-17
495,3.7401946
496,-1.0636389e-15
497,1.14698095e-14
498,-2.7838436e-14
499,7.992108e-15
500,2.1757524e-14
504,3.5471669e-15
505,1.6519006e-14
506,-4.337142e-17
507,4.637587e-15
509,4.9502573
512,3.2857078e-16
513,-1.6024134e-15
514,0.9900514
515,6.0846315e-16
517,-4.0311653e-15
518,5.4750922e-14
519,1.094314e-14
520,1.4388465e-16
522,1.4084958e-15
523,-3.815834e-15
524,6.921354e-15
525,-1.4636772e-16
526,2.4201257
527,1.3200686
528,3.8502002
529,5.2074427e-14
532,1.967352e-15
533,-5.655117e-17
534,2.271537e-15
536,-5.6180354e-15
538,-4.138606e-17
541,0.4400229
542,-7.9347744e-16
543,6.0503144
544,-1.934089e-15
545,5.39028
546,-1.3317897e-15
547,0.33001715
548,-5.067102e-16
549,2.750143
550,8.538443e-16
551,-2.8851427e-15
552,1.3200686
553,-3.848023e-16
554,2.2001143
555,0.77004004
556,6.733307e-16
557,1.0811252e-16
559,1.6500857
560,-3.760555e-15
561,0.22001144
562,1.244517e-16
563,6.7022913e-15
565,1.3200686
566,5.8303027
568,-5.1085857e-15
569,-6.437636e-15
570,8.015785e-15
572,1.9004498e-16
573,1.4300743
574,1.9809432e-16
575,1.5675827e-13
576,1.2868032e-14
578,8.4171226e-16
579,2.0901086
581,3.1406442e-15
582,2.0297345e-15
584,-6.5315626e-16
585,2.0819244e-15
586,7.9094336e-15
588,1.2100629
589,2.0901086
591,-3.193368e-16
592,1.2243689e-16
593,5.2304936e-16
594,9.8746356e-15
595,4.1802173
596,1.2408969e-15
598,-2.8332329e-15
599,1.0218346e-15
601,8.900645e-15
602,4.7133106e-16
604,3.042805e-14
605,2.0901086
606,1.4300743
608,3.1901658
609,3.5515698e-15
610,0.8800458
612,1.5400801
613,7.1767487e-16
614,-6.641334e-16
615,-2.771594e-15
617,5.384884e-15
619,4.1937876e-15
621,5.060263
623,2.8601487
624,5.557923e-14
625,11.440595
627,1.1283132e-14
628,0.8800458
629,1.4300743
631,9.9227724e-15
632,0.6600343
633,1.5226254e-14
634,6.026906e-16
636,-6.697106e-16
637,-1.7581737e-16
638,-1.2064281e-14
639,2.4201257
640,9.6203024e-17
641,2.31012
642,3.3001714
643,3.7401946
644,5.39028
645,1.6330372e-15
646,3.286914e-15
647,-1.7075409e-13
648,2.31012
650,9.714473e-16
651,3.8451857e-15
654,-3.846262e-15
655,1.5723181e-16
656,-4.626992e-16
657,-1.1707461e-15
658,9.459307e-15
661,2.6401372
662,3.1083573e-16
664,-1.09404e-15
665,1.8700973
667,-1.6528008e-15
668,3.9602056
669,-9.666531e-17
671,-3.9873044e-16
672,5.070409e-14
673,-2.0234328e-15
674,-1.0081566e-14
675,1.8700973
676,1.1176193e-15
678,3.9602056
679,-5.470396e-15
680,5.6166657e-15
682,-2.1617636e-15
683,0.77004004
684,-2.4068489e-17
685,0.9900514
686,-1.5744314e-15
687,7.3703833
688,3.2451367e-15
689,6.623335e-15
690,1.3960216e-15
691,1.8508722e-15
693,1.811594e-15
694,-3.4345539e-15
696,1.4355973e-15
697,1.7684469e-15
698,-5.992585e-16
699,2.2947573e-16
700,-1.1902162e-15
702,5.076788e-15
703,4.1143136e-13
704,-3.202918e-16
705,-8.952108e-15
706,0.4400229
707,-1.2354179e-17
709,0.9900514
710,1.0204648e-15
711,2.5611318e-14
712,2.8601487
713,3.82552e-16
