TrafficFlow,Area (square km),Area where NO2 greater than 40mug (square km),Area where NO2 greater than 60mug (square km),Total Population,Population in areas where NO2 greater than 40mug
1.911,86.7,6.1,0.5,386200,38000
1.179,64.3,6.1,0,245000,1100
987,43.2,5.8,0.4,329100,68600
1.418,150.2,1.2,0,327500,300
470,21.8,12.9,0.6,246200,200100
168,3.2,3.2,0.5,7400,7400
1.359,86.5,1.8,0,382300,1400
1.318,55.5,6.2,0.5,343500,44200
1.921,82.2,3.3,0.3,331500,11600
1.161,50.4,4,0.3,279900,22900
522,19.1,8.6,0.3,273900,160000
560,17.2,6,0.4,180000,85400
608,29.6,3.2,0.2,279300,41800
828,50.5,0.9,0,249300,0
1.727,114.5,1.7,0,253100,0
2.433,115.7,9.1,0.5,303100,3600
1.645,56.6,4.8,0.3,271500,26200
429,14.9,10.5,0.3,233200,177200
533,12.4,11,0.6,157100,150200
1.001,37.2,1.5,0.1,176100,3800
809,27.3,10,0.4,328200,152200
891,35.3,3.1,0.2,302300,35600
645,37.6,1.5,0,205700,4000
989,38.7,4.3,0.4,342400,46400
1.312,56.5,3.1,0.3,299400,14300
852,58.8,1.9,0.1,195800,5800
783,29.9,13.7,0.5,313900,197300
718,43.9,0.7,0,202600,0
941,21.6,13.7,0.7,305500,235700
879,38.8,2.9,0.3,276500,23700
819,35.2,7.1,0.2,316700,80900
895,22,21.6,1.6,247600,241000
