value,year,month,social_integration_percentage,perc_under_living_wage,LifeSatisfactionLow,LifeSatisfactionMedium,LifeSatisfactionHigh,LifeSatisfactionVeryHigh
0,2018,7,96,33.8,0,22.03,39.15,33.39
49,2018,2,86,40.9,11.16,19.75,34.9,34.19
30,2018,1,95,35.1,0,14.56,45.69,32.98
0,2018,7,92,28.5,7.54,12.87,46.82,32.77
136,2017,2,86,45.5,7.9,20.22,34.81,37.08
12,2018,0,96,33.8,0,22.03,39.15,33.39
0,2018,8,89,36.9,0,17.1,52.32,27.19
3,2018,1,97,12.2,0,16.99,37.43,35.44
28,2018,6,95,20.8,0,21.78,45.18,24.85
4,2018,9,83,35.3,9.39,14.71,43.12,32.78
0,2018,1,96,11.7,9.01,16.02,38.54,36.44
0,2018,9,83,35.3,9.39,14.71,43.12,32.78
60,2018,6,87,32.8,0,15.53,44.99,30.84
160,2017,2,81,34,0,22.03,39.15,33.39
163,2018,1,87,29.1,0,16.87,43.14,30.43
1,2018,7,87,32.8,0,15.53,44.99,30.84
15,2018,2,89,26.6,0,12.38,37.79,42.9
25,2017,2,97,17.6,0,16.5,41.06,33.84
77,2018,9,92,44.1,0,15.73,43.24,33.01
172,2018,2,87,32.8,0,15.53,44.99,30.84
0,2017,1,88,29.3,0,21.6,43.33,28.87
0,2018,3,96,12.4,8.26,12.68,46.69,32.37
0,2018,3,95,13.3,8.94,14.85,48.2,28.02
262,2017,0,94,25.1,10.52,18.15,38.32,33.01
0,2018,5,95,13,0,20.38,47.57,25.44
8,2018,9,89,38.4,0,13.25,58.69,24.57
1,2018,3,96,23.6,9.8,19.18,43.39,27.64
10,2018,9,94,22.1,10.43,22.17,40.06,27.34
9,2017,2,97,29.6,10.6,17.12,37.57,34.71
181,2018,8,87,29.1,0,16.87,43.14,30.43
4,2018,1,95,35.1,0,14.56,45.69,32.98
30,2018,7,86,40.9,11.16,19.75,34.9,34.19
211,2017,2,88,29.3,0,21.6,43.33,28.87
0,2018,3,97,23.4,0,14.22,48.74,31.5
27,2018,3,87,32.8,0,15.53,44.99,30.84
64,2018,1,83,33.5,10.6,17.12,37.57,34.71
10,2017,0,93,39.2,0,15.73,43.24,33.01
3,2017,1,86,45.5,7.9,20.22,34.81,37.08
1,2018,2,97,12.2,0,16.99,37.43,35.44
3,2018,5,96,12.4,8.26,12.68,46.69,32.37
1,2018,1,89,36.9,0,17.1,52.32,27.19
431,2017,1,94,29.6,0,19.73,40.86,30.82
0,2018,7,89,26.6,0,12.38,37.79,42.9
13,2018,7,92,44.1,0,15.73,43.24,33.01
46,2018,1,96,23.6,9.8,19.18,43.39,27.64
0,2018,5,89,39.7,0,15.03,40.33,38.42
3,2018,7,91,36.3,0,17.22,44.89,32.87
164,2017,0,94,20.6,0,14.22,48.74,31.5
55,2018,0,89,39.7,0,15.03,40.33,38.42
5,2018,4,91,36.3,0,17.22,44.89,32.87
39,2018,5,89,38.4,0,13.25,58.69,24.57
110,2018,8,87,29.1,0,16.87,43.14,30.43
16,2018,1,95,20.8,0,21.78,45.18,24.85
2,2018,1,92,28.5,7.54,12.87,46.82,32.77
2,2018,1,96,12.4,8.26,12.68,46.69,32.37
254,2018,3,95,13.3,8.94,14.85,48.2,28.02
99,2017,2,88,37.5,0,13.25,58.69,24.57
75,2018,7,97,12.2,0,16.99,37.43,35.44
16,2018,6,94,27.9,8.18,12.32,47.42,32.08
0,2018,0,86,40.9,11.16,19.75,34.9,34.19
37,2018,0,87,29.1,0,16.87,43.14,30.43
112,2018,1,95,13,0,20.38,47.57,25.44
1,2018,6,87,32.8,0,15.53,44.99,30.84
0,2017,2,88,37.5,0,13.25,58.69,24.57
43,2018,9,83,35.3,9.39,14.71,43.12,32.78
1,2018,8,92,44.1,0,15.73,43.24,33.01
0,2018,0,92,28.5,7.54,12.87,46.82,32.77
77,2018,9,92,28.5,7.54,12.87,46.82,32.77
9,2018,3,89,38.4,0,13.25,58.69,24.57
0,2017,0,91,29.2,0,17.22,44.89,32.87
2,2018,9,96,33.8,0,22.03,39.15,33.39
0,2017,1,88,37.5,0,13.25,58.69,24.57
3,2018,6,96,21.2,0,16.5,41.06,33.84
10,2018,5,83,33.5,10.6,17.12,37.57,34.71
54,2018,8,89,39.7,0,15.03,40.33,38.42
166,2018,4,87,29.1,0,16.87,43.14,30.43
33,2018,6,92,28.5,7.54,12.87,46.82,32.77
71,2018,5,83,35.3,9.39,14.71,43.12,32.78
8,2018,7,92,28.5,7.54,12.87,46.82,32.77
3,2018,1,96,11.7,9.01,16.02,38.54,36.44
112,2017,1,96,17.9,0,21.78,45.18,24.85
4,2018,8,87,32.8,0,15.53,44.99,30.84
110,2018,0,94,25,10.52,18.15,38.32,33.01
0,2018,2,91,36.3,0,17.22,44.89,32.87
47,2018,9,89,38.4,0,13.25,58.69,24.57
0,2018,2,89,39.7,0,15.03,40.33,38.42
5,2017,0,85,35.9,11.16,19.75,34.9,34.19
1,2018,6,94,25,10.52,18.15,38.32,33.01
7,2017,0,93,10.1,8.94,14.85,48.2,28.02
5,2018,9,98,14.1,7.02,21.68,41.26,30.05
2,2018,2,94,27.9,8.18,12.32,47.42,32.08
127,2018,0,92,28.5,7.54,12.87,46.82,32.77
0,2018,6,94,27.9,8.18,12.32,47.42,32.08
0,2018,8,96,11.7,9.01,16.02,38.54,36.44
20,2018,3,96,23.6,9.8,19.18,43.39,27.64
2,2018,1,89,38.4,0,13.25,58.69,24.57
0,2018,8,86,40.9,11.16,19.75,34.9,34.19
8,2017,1,98,16.7,0,16.99,37.43,35.44
12,2018,1,95,13,0,20.38,47.57,25.44
83,2018,1,94,27.9,8.18,12.32,47.42,32.08
80,2018,7,89,36.9,0,17.1,52.32,27.19
0,2018,5,88,48.7,7.9,20.22,34.81,37.08
2,2018,1,94,25,10.52,18.15,38.32,33.01
78,2018,6,96,22.3,0,16.15,52.83,26.2
47,2018,5,89,26.6,0,12.38,37.79,42.9
111,2018,1,85,25.8,9.13,21.34,33.63,35.9
0,2018,4,87,29.1,0,16.87,43.14,30.43
0,2018,8,95,13,0,20.38,47.57,25.44
0,2018,2,91,36.3,0,17.22,44.89,32.87
314,2018,9,96,12.4,8.26,12.68,46.69,32.37
1,2018,8,89,38.4,0,13.25,58.69,24.57
0,2018,5,91,36.3,0,17.22,44.89,32.87
58,2017,1,94,25.1,10.52,18.15,38.32,33.01
2,2017,2,87,37.8,0,17.1,52.32,27.19
0,2018,1,92,44.1,0,15.73,43.24,33.01
113,2017,2,97,17.6,0,16.5,41.06,33.84
4,2018,8,94,22.1,10.43,22.17,40.06,27.34
7,2018,1,89,26.6,0,12.38,37.79,42.9
100,2018,0,92,44.1,0,15.73,43.24,33.01
136,2018,2,96,33.8,0,22.03,39.15,33.39
39,2018,4,95,35.1,0,14.56,45.69,32.98
236,2018,0,89,26.6,0,12.38,37.79,42.9
15,2017,0,89,23,0,12.38,37.79,42.9
0,2018,4,95,35.1,0,14.56,45.69,32.98
3,2018,2,96,12.4,8.26,12.68,46.69,32.37
0,2018,1,87,32.8,0,15.53,44.99,30.84
119,2017,0,95,13.2,0,20.38,47.57,25.44
155,2018,3,98,14.1,7.02,21.68,41.26,30.05
0,2018,7,87,29.1,0,16.87,43.14,30.43
1,2018,9,83,33.5,10.6,17.12,37.57,34.71
0,2018,2,94,25,10.52,18.15,38.32,33.01
87,2018,5,83,33.5,10.6,17.12,37.57,34.71
1,2018,9,83,35.3,9.39,14.71,43.12,32.78
1,2017,1,88,37.5,0,13.25,58.69,24.57
1,2018,4,87,32.8,0,15.53,44.99,30.84
6,2018,6,95,13,0,20.38,47.57,25.44
0,2017,0,96,17.9,0,21.78,45.18,24.85
362,2018,8,95,13,0,20.38,47.57,25.44
7,2017,0,94,29.6,0,19.73,40.86,30.82
4,2018,8,89,39.7,0,15.03,40.33,38.42
142,2018,0,96,33.8,0,22.03,39.15,33.39
0,2017,1,87,37.8,0,17.1,52.32,27.19
1,2018,8,95,35.1,0,14.56,45.69,32.98
48,2018,6,89,36.9,0,17.1,52.32,27.19
8,2018,0,93,30.2,0,19.73,40.86,30.82
2,2018,1,91,36.3,0,17.22,44.89,32.87
5,2018,2,83,35.3,9.39,14.71,43.12,32.78
1,2018,4,95,13,0,20.38,47.57,25.44
175,2018,4,94,22.1,10.43,22.17,40.06,27.34
0,2017,1,85,35.9,11.16,19.75,34.9,34.19
0,2018,9,92,28.5,7.54,12.87,46.82,32.77
35,2018,4,91,36.3,0,17.22,44.89,32.87
28,2018,3,92,44.1,0,15.73,43.24,33.01
58,2018,6,98,14.1,7.02,21.68,41.26,30.05
2,2018,9,95,35.1,0,14.56,45.69,32.98
13,2018,7,97,23.4,0,14.22,48.74,31.5
0,2018,8,95,20.8,0,21.78,45.18,24.85
1,2018,1,98,14.1,7.02,21.68,41.26,30.05
3,2018,1,98,14.1,7.02,21.68,41.26,30.05
17,2018,6,96,21.2,0,16.5,41.06,33.84
7,2018,7,92,44.1,0,15.73,43.24,33.01
115,2018,1,89,38.4,0,13.25,58.69,24.57
0,2017,1,93,26.7,8.18,12.32,47.42,32.08
43,2018,8,87,32.8,0,15.53,44.99,30.84
172,2018,4,94,25,10.52,18.15,38.32,33.01
