Name,USD Raised,Month,Token Sale Price,Current Token Price,Token Return,ETH Return,BTC Return,Token / ETH Return,Token / BTC Return,Token difference,Diff days
,,,,,,,,,,,
Aeternity - Phase 1,"5,800,000.00",Apr-17,0.042,1.155,27.69,6.45,6.38,4.29,4.34,1.113,520.6262313
Matchpool,"5,700,000.00",Apr-17,0.095,0.079,0.83,6.45,6.38,0.13,0.13,-0.016,520.6262313
Sharpe Capital,"5,600,000.00",Jan-18,0.373,0.129,0.34,0.23,0.61,1.49,0.56,-0.244,245.6262313
DigiDAO,"5,500,000.00",Mar-16,3.235,50.841,15.71,37.65,16.62,0.42,0.95,47.606,916.6262313
FirstBlood,"5,500,000.00",Sep-16,0.064,0.075,1.17,21.98,12.04,0.05,0.1,0.011,732.6262313
Blocklancer,"5,475,789.16",Feb-18,0.047,0.004,0.08,0.34,0.7,0.24,0.12,-0.043,214.6262313
ChronoBank,"5,400,000.00",Feb-17,7.604,7.319,0.96,22.29,7.18,0.04,0.13,-0.285,579.6262313
Aurora,"5,308,130.87",Jan-18,0.066,0.061,0.92,0.29,0.46,3.13,1.98,-0.005,245.6262313
Augur,"5,300,000.00",Oct-15,0.602,20.18,33.51,417.26,30.45,0.08,1.1,19.578,1068.626231
Humaniq,"5,163,000.00",Apr-17,0.041,0.056,1.36,4.63,5.49,0.29,0.25,0.015,520.6262313
Air platform,"5,109,780.64",Jun-17,0.201,0.04,0.2,0.98,2.92,0.21,0.07,-0.161,459.6262313
Hellogold,"5,101,484.52",Oct-17,0.019,0.007,0.35,0.97,1.64,0.36,0.21,-0.012,337.6262313
DCORP,"5,048,937.00",Jun-17,0.624,0.135,0.22,0.95,2.85,0.23,0.08,-0.489,459.6262313
Starta,"5,033,960.00",Jul-17,1,0.334,0.33,1.05,2.78,0.32,0.12,-0.666,429.6262313
WeTrust,"5,000,000.00",Apr-17,0.063,0.026,0.41,6.05,6.2,0.07,0.07,-0.037,520.6262313
Hacken,"4,976,169.69",Nov-17,1.071,0.505,0.47,0.64,0.71,0.73,0.67,-0.566,306.6262313
TokenStars,"4,928,107.00",Oct-17,0.588,0.089,0.15,0.94,1.12,0.16,0.14,-0.499,337.6262313
Aeron,"4,909,918.08",Oct-17,,,,0.94,1.12,,,0,337.6262313
Mothership,"4,819,379.31",Jul-17,0.034,0.095,2.76,1.44,3.24,1.92,0.85,0.061,429.6262313
